tide: start time = 24 Jan 2017 20:28:30, p = 14.3566, pt = 18.535, t = 18.8109, c = -0.01548, s = 0.0000
tide: start time = 24 Jan 2017 20:34:30, p = 14.3567, pt = 18.557, t = 18.8471, c = -0.01547, s = 0.0000
tide: start time = 24 Jan 2017 20:40:30, p = 14.3573, pt = 18.581, t = 18.9086, c = -0.01547, s = 0.0000
tide: start time = 24 Jan 2017 19:46:30, p = 14.3580, pt = 18.348, t = 18.6345, c = -0.01548, s = 0.0000
tide: start time = 24 Jan 2017 19:52:30, p = 14.3584, pt = 18.372, t = 18.6515, c = -0.01548, s = 0.0000
tide: start time = 24 Jan 2017 19:58:30, p = 14.3584, pt = 18.372, t = 18.6646, c = -0.01547, s = 0.0000
tide: start time = 24 Jan 2017 20:04:30, p = 14.3590, pt = 18.394, t = 18.7098, c = -0.01548, s = 0.0000
tide: start time = 24 Jan 2017 20:10:30, p = 14.3592, pt = 18.442, t = 18.7443, c = -0.01547, s = 0.0000
tide: start time = 24 Jan 2017 20:16:30, p = 14.3585, pt = 18.489, t = 18.7794, c = -0.01548, s = 0.0000
tide: start time = 24 Jan 2017 20:22:30, p = 14.3570, pt = 18.489, t = 18.7881, c = -0.01547, s = 0.0000
