08 07 2017 09 32 00 00000000 01110000  11.5    0.0 157.2  -7.0   2.3   7.108  24.91     0     0
   0.050   0.100   0.000 171.0 167.0 156.0
  -0.060   0.000  -0.010 146.0 149.0 116.0
  -0.240   0.130   0.010 149.0 166.0 146.0
  -0.060   0.120  -0.030 139.0 135.0 113.0
  -0.050   0.020  -0.030 124.0 122.0 100.0
