tide: start time = 05 Sep 2014 10:58:30, p = 26.8795, pt = 25.621, t = 25.3063, c = 45.66736, s = 639.5407
tide: start time = 05 Sep 2014 11:04:30, p = 26.8562, pt = 25.597, t = 25.3059, c = 45.65964, s = 639.3539
tide: start time = 05 Sep 2014 11:10:30, p = 26.8391, pt = 25.597, t = 25.3058, c = 45.65762, s = 639.3033
tide: start time = 05 Sep 2014 11:16:30, p = 26.8164, pt = 25.597, t = 25.3083, c = 45.65847, s = 639.2704
tide: start time = 05 Sep 2014 11:22:30, p = 26.7896, pt = 25.597, t = 25.3091, c = 45.64969, s = 639.0273
tide: start time = 05 Sep 2014 11:28:30, p = 26.7574, pt = 25.597, t = 25.3101, c = 45.63997, s = 638.7554
tide: start time = 05 Sep 2014 11:34:30, p = 26.7274, pt = 25.597, t = 25.3107, c = 45.62824, s = 638.4447
tide: start time = 05 Sep 2014 11:40:30, p = 26.6983, pt = 25.597, t = 25.3092, c = 45.61249, s = 638.0748
tide: start time = 05 Sep 2014 11:46:30, p = 26.6715, pt = 25.597, t = 25.3044, c = 45.61025, s = 638.1264
tide: start time = 05 Sep 2014 11:52:30, p = 26.6387, pt = 25.597, t = 25.3003, c = 45.61676, s = 638.3842
